index,reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed
6398,2023-07,33105058060000,39091,CONTINENTAL RESOURCES INC,Colette 3-18H,NENW,18.0,155.0,96.0,WIL,DOLLAR JOE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,48.2540839832404,-103.077697342995,Williams,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6401,2023-07,33105058040000,39089,CONTINENTAL RESOURCES INC,Colette 6-18H,NWNE,18.0,155.0,96.0,WIL,DOLLAR JOE,BAKKEN,3700.0,3163.0,5.0,3160,4983.0,4299,684.0,48.2522759780986,-103.071433689571,Williams,2023,7,31,119.35483870967742,160.74193548387098,102.03225806451613,138.67741935483872,22.06451612903226,830.5,26.790322580645164,146.1451612903226
7306,2023-07,33105058300000,39131,CRESCENT POINT ENERGY US CORP,CPEUSC Amelia Grace 4-6-7-158N-99W-MBH,SESW,31.0,159.0,99.0,WIL,ELLISVILLE,BAKKEN,780.0,2981.0,4.0,780,446.0,446,0.0,48.547491456886,-103.530200050191,Williams,2023,7,31,25.161290322580644,14.387096774193548,96.16129032258064,14.387096774193548,0.0,74.33333333333333,2.3978494623655915,27.559139784946236
7362,2023-07,33105059350000,39496,ENERPLUS RESOURCES USA CORPORATION,Brown Bear 158-99-36-25-2H,LOT4,1.0,157.0,99.0,WIL,ELLISVILLE,CONFIDENTIAL,,,,11889,,10073,,48.4581540083097,-103.423904210149,Williams,2023,7,31,,,,324.93548387096774,,,,
7363,2023-07,33105059360000,39497,ENERPLUS RESOURCES USA CORPORATION,Brown Bear 158-99-36-25-3H,LOT4,1.0,157.0,99.0,WIL,ELLISVILLE,CONFIDENTIAL,,,,18468,,13404,,48.4581548123926,-103.424048529123,Williams,2023,7,31,,,,432.38709677419354,,,,
7642,2023-07,33061050690000,39279,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,CA C 158-93-21-23-1MBHX,NWNW,21.0,158.0,93.0,MTL,ENGET LAKE,CONFIDENTIAL,,,,911,,0,,48.5020052731934,-102.710388572547,Mountrail,2023,7,31,,,,0.0,,,,
7643,2023-07,33061050700000,39280,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,CA C 158-93-21-23-2MBHX,NWNW,21.0,158.0,93.0,MTL,ENGET LAKE,CONFIDENTIAL,,,,2064,,0,,48.5020052676075,-102.710533013898,Mountrail,2023,7,31,,,,0.0,,,,
7644,2023-07,33061050680000,39278,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,NV C 158-93-16-14-20MBHX,NWNW,21.0,158.0,93.0,MTL,ENGET LAKE,CONFIDENTIAL,,,,3259,,4250,,48.5020052787793,-102.710244131195,Mountrail,2023,7,31,,,,137.09677419354838,,,,
7645,2023-07,33061050670000,39277,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,NV C 158-93-16-14-5MBHX,NWNW,21.0,158.0,93.0,MTL,ENGET LAKE,CONFIDENTIAL,,,,213,,287,,48.5020052843651,-102.710099689843,Mountrail,2023,7,31,,,,9.258064516129032,,,,
7815,2023-07,33025040370000,37546,LIME ROCK RESOURCES III-A LP,State B 2-25-36H-143-97,SESE,24.0,143.0,97.0,DUN,FAYETTE,BAKKEN,16473.0,33004.0,23.0,15535,9982.0,6080,2740.0,47.184081968986,-102.906771485251,Dunn,2023,7,31,531.3870967741935,322.0,1064.6451612903227,196.1290322580645,88.38709677419355,1663.6666666666667,53.666666666666664,585.0537634408602
